20.0,55.0,Terry Gross
95.0,195.0,Terry Gross
330.0,410.0,Terry Gross
475.0,565.0,Terry Gross
820.0,875.0,Terry Gross
965.0,1005.0,Terry Gross
1170.0,1230.0,Terry Gross
1300.0,1325.0,Terry Gross
1440.0,1470.0,Terry Gross
1565.0,1650.0,Terry Gross
1805.0,1820.0,Terry Gross
1855.0,1880.0,Terry Gross
1900.0,1950.0,Terry Gross
2035.0,2050.0,Terry Gross
2150.0,2155.0,Terry Gross
2240.0,2255.0,Terry Gross
2345.0,2375.0,Terry Gross
2395.0,2430.0,Terry Gross
2550.0,2580.0,Terry Gross
2695.0,2710.0,Terry Gross
2790.0,2830.0,Terry Gross
